item_id,order_id,product_id,quantity,unit_price,discount_percent
I0000001,O000144,P00159,2,527.07,31.32
I0000002,O000603,P00463,4,182.23,4.09
I0000003,O000458,P00468,7,589.85,28.6
I0000004,O000619,P00478,3,570.28,34.29
I0000005,O000043,P00219,4,911.56,26.42
I0000006,O000900,P00071,7,324.89,15.24
I0000007,O000241,P00351,1,745.26,28.39
I0000008,O000517,P00401,7,1156.07,24.79
I0000009,O000398,P00475,5,927.42,26.18
I0000010,O000394,P00373,2,206.4,21.14
I0000011,O000889,P00368,3,294.54,24.37
I0000012,O000110,P00414,7,248.05,33.98
I0000013,O000113,P00402,3,305.58,22.62
I0000014,O000756,P00461,7,1184.56,34.73
I0000015,O000436,P00236,1,98.97,30.18
I0000016,O000891,P00287,5,754.0,26.89
I0000017,O000924,P00205,4,1071.43,22.17
I0000018,O000438,P00378,6,915.2,6.43
I0000019,O000651,P00431,4,1150.78,1.71
I0000020,O000570,P00333,4,173.41,7.72
I0000021,O000453,P00101,2,1123.64,28.06
I0000022,O000912,P00330,4,579.53,30.18
I0000023,O000591,P00376,7,822.42,19.35
I0000024,O000978,P00278,5,1021.04,13.46
I0000025,O000835,P00090,6,569.64,32.36
I0000026,O000753,P00292,6,1142.67,0.65
I0000027,O000187,P00479,8,680.34,18.34
I0000028,O000247,P00188,2,638.12,25.13
I0000029,O000930,P00131,1,473.92,28.02
I0000030,O000115,P00343,1,658.93,13.48
I0000031,O000482,P00016,1,656.63,10.56
I0000032,O000086,P00078,2,109.57,12.15
I0000033,O000008,P00238,-3,178.77,0.77
I0000034,O000647,P00055,4,976.13,32.51
I0000035,O000465,P00453,1,402.48,32.39
I0000036,O000097,P00060,4,922.3,20.13
I0000037,O000296,P00353,6,476.5,12.87
I0000038,O000691,P00065,5,272.26,26.31
I0000039,O000239,P00374,7,374.68,8.83
I0000040,O000621,P00351,4,289.96,18.53
I0000041,O000666,P00219,3,1116.17,17.76
I0000042,O000905,P00193,3,229.1,33.48
I0000043,O000612,P00342,7,1199.78,15.91
I0000044,O000165,P00498,2,134.29,35.0
I0000045,O000986,P00105,6,611.82,17.21
I0000046,O000555,P00468,3,521.66,24.59
I0000047,O000945,P00117,7,900.01,22.6
I0000048,O000538,P00154,2,279.07,24.87
I0000049,O000477,P00277,3,533.08,16.28
I0000050,O000238,P00204,4,66.36,34.44
I0000051,O000062,P00129,7,160.21,12.75
I0000052,O000486,P00042,5,879.6,17.86
I0000053,O000570,P00325,5,142.2,30.84
I0000054,O000627,P00055,2,1146.46,20.52
I0000055,O000695,P00123,1,730.84,28.67
I0000056,O000721,P00050,4,915.1,21.16
I0000057,O000760,P00110,6,224.82,29.76
I0000058,O000250,P00094,1,785.25,28.75
I0000059,O000392,P00453,2,704.72,4.97
I0000060,O000341,P00174,5,358.54,14.17
I0000061,O000385,P00026,3,78.93,34.37
I0000062,O000193,P00470,8,525.39,32.75
I0000063,O000697,P00090,6,1035.22,10.01
I0000064,O000361,P00450,1,813.14,8.1
I0000065,O000665,P00108,6,854.67,30.74
I0000066,O000881,P00174,-2,432.34,8.02
I0000067,O000778,P00196,1,657.79,8.59
I0000068,O000499,P00396,4,316.23,23.67
I0000069,O000398,P00045,7,1104.37,0.43
I0000070,O000561,P00139,4,622.47,22.08
I0000071,O000306,P00119,7,995.71,13.74
I0000072,O000400,P00216,5,225.53,23.24
I0000073,O000791,P00189,5,357.98,12.51
I0000074,O000257,P00059,8,173.84,20.57
I0000075,O000069,P00068,4,757.99,7.13
I0000076,O000892,P00118,4,617.18,3.29
I0000077,O000357,P00191,7,1012.76,5.43
I0000078,O000219,P00039,8,454.21,23.53
I0000079,O000222,P00184,5,1075.8,26.56
I0000080,O000681,P00456,3,1129.81,28.58
I0000081,O000896,P00290,8,542.73,14.39
I0000082,O000990,P00452,8,780.54,28.16
I0000083,O000648,P00119,8,993.21,10.12
I0000084,O000019,P00386,6,657.31,21.22
I0000085,O000515,P00153,2,311.01,23.6
I0000086,O000954,P00061,7,240.33,28.46
I0000087,O000594,P00338,2,24.99,25.24
I0000088,O000794,P00382,7,593.81,29.41
I0000089,O000391,P00068,5,22.3,5.66
I0000090,O000037,P00143,7,367.5,20.41
I0000091,O000796,P00071,4,289.28,10.04
I0000092,O000996,P00006,2,813.42,18.24
I0000093,O000677,P00170,4,558.09,26.19
I0000094,O000856,P00243,2,533.58,20.17
I0000095,O000798,P00496,5,190.24,23.08
I0000096,O000002,P00389,5,598.66,19.99
I0000097,O000729,P00043,7,1006.8,2.3
I0000098,O000141,P00442,5,677.49,1.62
I0000099,O000254,P00249,-2,440.79,6.49
I0000100,O000420,P00440,2,704.03,20.08
I0000101,O000274,P00464,3,25.1,1.28
I0000102,O000800,P00489,4,1104.58,25.69
I0000103,O000085,P00444,1,798.18,20.7
I0000104,O000377,P00021,5,909.29,3.36
I0000105,O000273,P00223,7,734.17,6.49
I0000106,O000867,P00062,6,538.42,7.28
I0000107,O000372,P00448,2,1083.83,28.39
I0000108,O000563,P00082,6,582.91,13.91
I0000109,O000630,P00134,2,732.36,24.07
I0000110,O000470,P00429,3,653.47,23.17
I0000111,O000203,P00101,5,887.97,16.65
