order_id,customer_id,order_date,status,region_code
O000001,C00327,2026-03-11 22:48:50,DELIVERED,EAST
O000002,C00171,2026-01-17 18:00:23,SHIPPED,SOUTH
O000003,C00172,2025-11-23 17:26:31,DELIVERED,NORTH
O000004,C00183,2025-02-28 13:47:06,PLACED,NORTH
O000005,C00561,2026-01-29 01:22:40,SHIPPED,NORTH
O000006,C00253,2025-02-20 08:21:23,RETURNED,NORTH
O000007,C00204,2025-09-27 23:14:56,SHIPPED,CENTRAL
O000008,C00428,2026-06-15 06:54:16,PLACED,NORTH
O000009,C00172,2025-01-24 15:58:59,DELIVERED,EAST
O000010,C00106,2025-05-10 11:37:10,DELIVERED,SOUTH
O000011,C00179,2025-08-07 02:23:57,DELIVERED,CENTRAL
O000012,C00233,2025-10-12 12:28:35,PLACED,WEST
O000013,C00014,2025-04-30 08:02:56,RETURNED,CENTRAL
O000014,C00163,2025-04-30 10:20:47,CANCELLED,CENTRAL
O000015,C00503,2025-05-03 03:32:47,SHIPPED,EAST
O000016,C00214,2025-04-12 19:49:15,PLACED,WEST
O000017,C00110,2026-03-04 01:09:08,PLACED,SOUTH
O000018,C00107,2025-03-03 11:03:51,SHIPPED,CENTRAL
O000019,C00371,2026-03-04 12:58:56,DELIVERED,NORTH
O000020,,2026-01-07 13:29:58,SHIPPED,WEST
O000021,C00411,2026-07-04 21:12:58,DELIVERED,WEST
O000022,C00119,2026-01-21 20:28:57,DELIVERED,WEST
O000023,C00404,2026-02-26 02:46:05,DELIVERED,WEST
O000024,C00056,2025-02-20 22:11:30,PLACED,SOUTH
O000025,C00361,2025-05-09 07:53:15,DELIVERED,WEST
O000026,C00210,2026-07-14 04:45:45,DELIVERED,WEST
O000027,C00300,2026-02-13 13:14:26,SHIPPED,SOUTH
O000028,C00347,2025-01-18 19:47:48,DELIVERED,NORTH
O000029,C00538,2026-07-18 02:18:18,DELIVERED,CENTRAL
O000030,C00038,2026-03-03 00:40:24,DELIVERED,WEST
O000031,C00517,2025-10-23 07:34:35,SHIPPED,CENTRAL
O000032,C00504,2026-07-17 11:23:05,DELIVERED,NORTH
O000033,C00200,2025-02-15 08:20:08,PLACED,WEST
O000034,C00371,2025-10-01 22:35:19,DELIVERED,EAST
O000035,C00007,2026-04-22 11:47:09,DELIVERED,NORTH
O000036,C00214,2025-10-04 14:28:34,PLACED,NORTH
O000037,C00561,2025-10-22 18:30:06,SHIPPED,EAST
O000038,C00427,2025-06-16 15:14:42,PLACED,CENTRAL
O000039,C00363,2025-10-02 23:45:19,CANCELLED,NORTH
O000040,,2025-07-14 14:46:46,RETURNED,SOUTH
O000041,C00246,2026-07-23 05:25:05,DELIVERED,EAST
O000042,C00009,2025-06-21 01:54:36,CANCELLED,NORTH
O000043,C00324,2025-05-12 06:11:08,CANCELLED,CENTRAL
O000044,C00257,2025-03-14 08:23:09,DELIVERED,EAST
O000045,C00311,2025-03-16 08:56:49,PLACED,EAST
O000046,C00120,2025-11-12 06:22:04,SHIPPED,CENTRAL
O000047,C00009,2025-10-21 04:52:08,CANCELLED,WEST
O000048,C00228,2025-02-12 05:36:09,DELIVERED,SOUTH
O000049,C00045,2025-07-29 04:26:32,CANCELLED,EAST
O000050,C00546,2026-02-27 16:09:48,DELIVERED,SOUTH
O000051,C00220,2025-06-02 05:26:17,DELIVERED,CENTRAL
O000052,C00265,2025-02-07 05:28:53,DELIVERED,EAST
O000053,C00066,2025-06-24 12:03:52,RETURNED,CENTRAL
O000054,C00438,2026-01-06 21:06:59,RETURNED,SOUTH
O000055,C00499,2026-01-28 01:11:58,DELIVERED,WEST
O000056,C00242,2025-07-23 11:02:18,DELIVERED,CENTRAL
O000057,C00364,2026-07-09 05:39:10,PLACED,WEST
O000058,C00397,2025-08-17 01:35:03,CANCELLED,NORTH
O000059,C00023,2026-02-14 16:16:04,DELIVERED,NORTH
O000060,,2025-03-06 23:28:39,CANCELLED,EAST
O000061,C00055,2026-01-12 11:54:18,SHIPPED,NORTH
O000062,C00037,2025-09-10 13:55:52,PLACED,SOUTH
O000063,C00067,2026-02-04 16:58:18,CANCELLED,SOUTH
O000064,C00342,2026-02-15 08:28:46,DELIVERED,WEST
O000065,C00585,2025-05-17 01:01:29,PLACED,SOUTH
O000066,C00376,2025-01-03 15:45:23,PLACED,WEST
O000067,C00096,2025-02-11 04:13:53,DELIVERED,NORTH
O000068,C00289,2025-01-18 23:28:36,DELIVERED,SOUTH
O000069,C00301,2025-05-15 21:16:57,SHIPPED,EAST
O000070,C00368,2025-05-03 00:46:25,DELIVERED,SOUTH
O000071,C00190,2025-02-01 20:50:49,RETURNED,NORTH
O000072,C00406,2025-09-11 14:53:58,PLACED,CENTRAL
O000073,C00491,2026-02-20 09:53:42,DELIVERED,WEST
O000074,C00512,2025-12-27 09:40:55,PLACED,EAST
O000075,C00494,2025-04-18 22:14:42,DELIVERED,CENTRAL
O000076,C00401,2025-01-16 05:13:06,DELIVERED,CENTRAL
O000077,C00526,2025-01-24 11:28:17,PLACED,SOUTH
O000078,C00434,2025-07-22 15:01:46,RETURNED,CENTRAL
O000079,C00503,2026-06-27 21:24:49,SHIPPED,WEST
O000080,,2025-05-02 08:41:25,PLACED,SOUTH
O000081,C00370,2025-04-02 13:09:02,PLACED,CENTRAL
O000082,C00575,2025-09-27 02:50:17,CANCELLED,WEST
O000083,C00192,2025-11-08 23:40:18,PLACED,SOUTH
O000084,C00190,2026-02-12 17:57:34,DELIVERED,NORTH
O000085,C00259,2025-10-11 12:59:02,DELIVERED,EAST
O000086,C00043,2025-04-04 19:00:01,DELIVERED,SOUTH
O000087,C00577,2025-06-10 19:17:41,DELIVERED,WEST
O000088,C00305,2025-01-11 12:46:08,DELIVERED,CENTRAL
O000089,C00572,2026-07-19 20:37:42,SHIPPED,EAST
