product_id,product_name,category,subcategory,cost_price
P00001,SMART BACKPACK 1,Books,Academic,95.17
P00002, Smart Notebook 2 ,Electronics,Laptop,656.42
P00003,Classic Backpack 3,Books,Academic,74.31
P00004,Modern Monitor 4,Electronics,Accessories,399.99
P00005,Advanced Novel 5,Clothing,Men,316.25
P00006,Modern Headphones 6,Books,Fiction,271.61
P00007,Advanced Backpack 7,Electronics,Accessories,213.34
P00008,Premium Chair 8,Books,Fiction,705.16
P00009,Advanced Backpack 9,Electronics,Accessories,742.63
P00010,Advanced Novel 10,Electronics,Accessories,583.34
P00011,Premium Notebook 11,Electronics,Laptop,734.17
P00012,Essential Shirt 12,Electronics,Accessories,44.84
P00013,Essential Notebook 13,Clothing,Kids,790.79
P00014,Premium Lamp 14,Electronics,Mobile,758.11
P00015,Premium Monitor 15,Home,Decor,512.74
P00016,Smart Cookware 16,Electronics,Mobile,365.99
P00017,Modern Lamp 17,Books,Non-Fiction,349.88
P00018,Modern Shirt 18,Home,Decor,548.65
P00019,Smart Monitor 19,Books,Academic,730.56
P00020,Modern Monitor 20,Electronics,Accessories,20.78
P00021,Advanced Shirt 21,Clothing,Kids,273.71
P00022,Classic Headphones 22,Home,Kitchen,199.71
P00023,Essential Shirt 23,Books,Non-Fiction,134.57
P00024,Essential Shirt 24,Books,Fiction,584.82
P00025,Modern Shirt 25,Books,Fiction,402.33
P00026,Modern Cookware 26,Home,Kitchen,336.83
P00027,Classic Backpack 27,Electronics,Laptop,406.33
P00028,Advanced Notebook 28,Books,Academic,167.24
P00029,Classic Lamp 29,Books,Academic,134.71
P00030,Smart Shirt 30,Electronics,Accessories,72.12
P00031,Advanced Novel 31,Electronics,Accessories,480.37
P00032,Classic Novel 32,Electronics,Accessories,121.39
P00033,Classic Phone 33,Books,Non-Fiction,231.17
P00034,Essential Notebook 34,Clothing,Men,515.63
P00035,Smart Novel 35,Clothing,Kids,728.98
P00036,Smart Headphones 36,Home,Kitchen,524.09
P00037,Smart Chair 37,Electronics,Laptop,519.33
P00038,Essential Notebook 38,Home,Decor,698.61
P00039,Essential Notebook 39,Electronics,Mobile,223.18
P00040,  premium backpack 40  ,Home,Kitchen,159.86
P00041,ADVANCED MONITOR 41,Books,Non-Fiction,306.65
P00042, Premium Backpack 42 ,Clothing,Men,599.18
P00043,Premium Lamp 43,Electronics,Accessories,173.35
P00044,Modern Chair 44,Clothing,Women,721.06
P00045,Smart Backpack 45,Home,Kitchen,664.32
P00046,Smart Cookware 46,Books,Academic,14.17
P00047,Classic Monitor 47,Books,Non-Fiction,142.75
P00048,Advanced Novel 48,Books,Non-Fiction,666.65
P00049,Modern Lamp 49,Home,Kitchen,497.29
P00050,Smart Headphones 50,Electronics,Mobile,320.65
P00051,Essential Headphones 51,Clothing,Kids,297.89
P00052,Modern Lamp 52,Electronics,Mobile,697.6
P00053,Essential Shirt 53,Clothing,Men,317.17
P00054,Smart Notebook 54,Books,Non-Fiction,437.93
P00055,Premium Cookware 55,Books,Non-Fiction,523.58
P00056,Premium Phone 56,Clothing,Women,725.78
P00057,Modern Lamp 57,Electronics,Mobile,123.3
P00058,Modern Headphones 58,Home,Decor,107.53
P00059,Smart Backpack 59,Clothing,Men,752.26
P00060,Premium Monitor 60,Books,Non-Fiction,623.59
P00061,Smart Phone 61,Clothing,Men,741.64
P00062,Essential Novel 62,Electronics,Laptop,493.55
P00063,Modern Headphones 63,Home,Kitchen,163.07
P00064,Premium Headphones 64,Home,Kitchen,662.36
P00065,Smart Chair 65,Clothing,Kids,646.92
P00066,Classic Novel 66,Clothing,Kids,484.86
P00067,Premium Backpack 67,Home,Kitchen,125.5
P00068,Modern Monitor 68,Books,Academic,36.35
P00069,Premium Shirt 69,Books,Fiction,275.11
P00070,Smart Monitor 70,Electronics,Laptop,536.62
P00071,Modern Shirt 71,Electronics,Accessories,766.91
