
REVENUE_BY_CATEGORY
-------------------
   category    revenue
Electronics 1367120.62
   Clothing 1264767.90
      Books 1220244.11
       Home 1053314.00

TOP_CUSTOMERS
-------------
customer_id  revenue
     C00232 44696.01
     C00064 43331.59
     C00371 42988.76
     C00164 40717.40
     C00215 39765.98
     C00595 36308.94
     C00200 36219.00
     C00517 34435.24
     C00210 34021.50
     C00348 33659.94

AT_RISK_CUSTOMERS
-----------------
customer_id  average_gap_days
     C00040            526.00
     C00464            515.00
     C00458            495.00
     C00026            479.00
     C00177            469.00
     C00320            468.00
     C00465            443.00
     C00515            430.00
     C00141            430.00
     C00538            421.00
     C00503            420.00
     C00391            420.00
     C00351            418.00
     C00201            408.00
     C00367            396.00
     C00107            390.00
     C00199            383.00
     C00578            377.00
     C00190            376.00
     C00520            369.00
     C00136            369.00
     C00415            360.00
     C00013            360.00
     C00399            335.00
     C00275            331.00
     C00231            327.00
     C00594            319.00
     C00081            319.00
     C00556            316.00
     C00225            315.00
     C00374            311.00
     C00161            309.00
     C00460            299.00
     C00381            297.00
     C00250            297.00
     C00572            290.00
     C00457            290.00
     C00443            284.00
     C00027            280.00
     C00305            278.00
     C00436            272.00
     C00307            271.50
     C00262            271.00
     C00113            268.00
     C00455            264.00
     C00400            263.00
     C00271            259.00
     C00172            257.00
     C00249            256.00
     C00072            253.00
     C00046            251.50
     C00361            249.00
     C00403            247.50
     C00198            247.00
     C00508            246.50
     C00223            243.00
     C00063            243.00
     C00527            239.50
     C00123            239.00
     C00346            236.00
     C00291            232.00
     C00394            228.00
     C00491            226.00
     C00276            226.00
     C00169            226.00
     C00219            223.00
     C00130            222.00
     C00393            221.00
     C00501            219.00
     C00472            218.00
     C00385            218.00
     C00235            216.00
     C00433            215.00
     C00575            214.00
     C00511            213.50
     C00106            208.00
     C00093            207.00
     C00444            206.00
     C00553            205.00
     C00514            202.00
     C00468            202.00
     C00234            201.00
     C00204            201.00
     C00497            200.00
     C00309            199.50
     C00342            196.50
     C00259            191.50
     C00217            191.00
     C00041            189.00
     C00373            187.50
     C00410            187.00
     C00018            187.00
     C00007            187.00
     C00298            186.00
     C00228            185.50
     C00166            185.50
     C00531            184.00
     C00454            178.50
     C00196            178.50
     C00558            178.00
     C00530            176.00
     C00301            176.00
     C00230            176.00
     C00159            176.00
     C00479            175.00
     C00478            175.00
     C00214            175.00
     C00474            174.00
     C00192            174.00
     C00343            173.00
     C00246            172.50
     C00475            171.00
     C00242            171.00
     C00030            171.00
     C00376            170.33
     C00539            170.00
     C00585            169.00
     C00240            169.00
     C00420            168.67
     C00062            167.00
     C00067            165.00
     C00011            165.00
     C00510            162.00
     C00253            161.50
     C00482            160.50
     C00536            160.00
     C00496            159.67
     C00306            159.00
     C00056            159.00
     C00506            158.00
     C00439            157.00
     C00052            157.00
     C00150            153.00
     C00516            152.00
     C00064            152.00
     C00427            151.50
     C00109            151.50
     C00526            150.00
     C00184            150.00
     C00425            148.50
     C00164            146.67
     C00559            146.00
     C00212            146.00
     C00580            145.67
     C00006            145.00
     C00244            144.50
     C00232            144.00
     C00182            142.00
     C00327            141.50
     C00193            141.00
     C00462            139.50
     C00297            139.00
     C00059            139.00
     C00035            139.00
     C00210            138.25
     C00098            138.00
     C00043            137.33
     C00522            136.00
     C00495            135.67
     C00085            135.50
     C00489            129.00
     C00171            129.00
     C00370            128.00
     C00333            128.00
     C00290            127.67
     C00332            124.00
     C00546            123.75
     C00512            123.50
     C00304            123.00
     C00170            123.00
     C00082            122.25
     C00547            122.00
     C00302            120.00
     C00405            119.00
     C00163            119.00
     C00493            118.00
     C00404            118.00
     C00083            117.50
     C00537            115.67
     C00368            114.00
     C00084            114.00
     C00555            113.00
     C00009            112.40
     C00544            112.00
     C00221            110.00
     C00051            110.00
     C00143            109.00
     C00595            108.67
     C00382            108.00
     C00303            106.50
     C00451            106.00
     C00187            106.00
     C00561            105.67
     C00197            105.50
     C00254            104.50
     C00517            104.00
     C00188            104.00
     C00317            103.00
     C00256            102.50
     C00347            102.00
     C00076            102.00
     C00248            101.00
     C00598            100.33
     C00132            100.00
     C00584             98.75
     C00200             97.00
     C00075             96.00
     C00440             95.00
     C00416             95.00
     C00348             94.40
     C00215             93.33
     C00206             93.00
     C00105             93.00
     C00579             92.75
     C00554             92.50
     C00324             91.00
     C00038             90.00
     C00564             82.00
     C00456             80.33
     C00270             80.00
     C00245             79.50
     C00586             78.67
     C00523             77.50
     C00379             76.00
     C00359             75.50
     C00296             73.67
     C00183             73.33
     C00211             73.00
     C00300             72.00
     C00498             69.00
     C00371             67.25
     C00020             66.33
     C00365             64.00
     C00448             63.00
     C00344             61.50
     C00437             59.00
     C00121             59.00
     C00540             57.00
     C00588             56.00
     C00441             56.00
     C00267             55.50
     C00424             54.00
     C00028             53.50
     C00392             52.50
     C00001             51.00
     C00533             49.00
     C00378             47.00
     C00483             45.00
     C00445             45.00
     C00096             41.00
     C00110             39.75
     C00005             39.00
     C00406             38.00
     C00151             38.00
     C00401             36.00
     C00037             35.00
     C00265             34.00
     C00279             33.00
     C00366             32.00
     C00116             31.00
