invoice_id,po_id,vendor_id,invoice_date,invoice_amount,due_date,payment_date,payment_status
INV00001,PO00001,V008,2025-11-02,95622.79,2025-11-17,2025-11-12,Paid
INV00002,PO00003,V014,2025-07-30,4825.12,2025-08-29,2025-09-01,Paid
INV00003,PO00004,V012,2026-03-30,57370.6,2026-05-14,2026-05-13,Paid
INV00004,PO00005,V002,2025-04-28,8505.0,2025-06-27,2025-06-26,Paid
INV00005,PO00006,V004,2025-09-13,13941.05,2025-11-12,2025-11-13,Paid
INV00006,PO00007,V005,2026-03-10,17376.38,2026-04-09,2026-04-07,Paid
INV00007,PO00008,V003,2026-04-18,189830.52,2026-05-03,2026-05-04,Paid
INV00008,PO00009,V004,2025-03-01,199717.47,2025-04-30,2025-04-25,Paid
INV00009,PO00010,V001,2025-04-20,207025.5,2025-05-20,2025-05-22,Paid
INV00010,PO00011,V006,2026-02-23,69233.45,2026-03-25,2026-03-28,Paid
INV00011,PO00012,V013,2025-03-18,20025.89,2025-04-17,2025-04-14,Paid
INV00012,PO00013,V009,2026-04-29,37135.43,2026-05-14,2026-05-13,Paid
INV00013,PO00014,V018,2026-05-21,11356.8,2026-07-20,2026-07-19,Paid
INV00014,PO00015,V002,2026-07-20,14410.44,2026-09-18,,Pending
INV00015,PO00016,V002,2026-05-20,126208.02,2026-07-19,2026-07-18,Paid
INV00016,PO00017,V006,2025-03-19,141965.12,2025-04-18,2025-04-19,Paid
INV00017,PO00018,V006,2025-03-17,23879.52,2025-04-16,2025-04-12,Paid
INV00018,PO00019,V008,2026-03-05,32489.16,2026-03-20,2026-03-18,Paid
INV00019,PO00020,V008,2025-02-28,27028.68,2025-03-15,2025-03-14,Paid
INV00020,PO00021,V019,2026-07-10,81172.34,2026-08-09,,Pending
INV00021,PO00023,V022,2025-11-12,46648.02,2026-01-11,2026-01-12,Paid
INV00022,PO00024,V003,2025-01-26,88805.17,2025-02-10,2025-02-13,Paid
INV00023,PO00025,V004,2025-03-23,40950.0,2025-05-22,,Overdue
INV00024,PO00026,V005,2026-01-09,35422.08,2026-02-08,2026-02-21,Paid
