po_id,vendor_id,order_date,item_category,quantity,unit_price,po_amount,region,department
PO00001,V008,2025-10-13,Packaging,347,275.57,95622.79,East,HR
PO00002,V005,2026-04-30,MRO Parts,129,417.69,53882.01,North,R&D
PO00003,V014,2025-07-14,Consulting,53,91.04,4825.12,North,Finance
PO00004,V012,2026-03-10,MRO Parts,215,266.84,57370.6,North,Facilities
PO00005,V002,2025-04-11,Consulting,36,236.25,8505.0,North,Operations
PO00006,V004,2025-09-12,Consulting,103,135.35,13941.05,West,Finance
PO00007,V005,2026-03-09,MRO Parts,98,177.31,17376.38,North,IT
PO00008,V003,2026-03-30,Raw Materials,418,454.14,189830.52,South,HR
PO00009,V004,2025-02-21,Consulting,338,519.66,175645.08,West,R&D
PO00010,V001,2025-04-06,Raw Materials,479,402.94,193008.26,East,IT
PO00011,V006,2026-02-21,Office Supplies,253,273.65,69233.45,East,R&D
PO00012,V013,2025-03-02,IT Equipment,89,225.01,20025.89,East,Finance
PO00013,V009,2026-04-11,Packaging,151,245.93,37135.43,North,Facilities
PO00014,V018,2026-05-14,Packaging,84,135.2,11356.8,East,IT
PO00015,V002,2026-07-10,Consulting,36,400.29,14410.44,North,Manufacturing
PO00016,V002,2026-05-04,Consulting,262,481.71,126208.02,North,HR
PO00017,V006,2025-02-28,Office Supplies,496,286.22,141965.12,East,R&D
PO00018,V006,2025-03-12,Office Supplies,309,77.28,23879.52,East,R&D
PO00019,V008,2026-02-18,Packaging,66,492.26,32489.16,East,HR
PO00020,V008,2025-02-10,Packaging,322,83.94,27028.68,East,Facilities
PO00021,V019,2026-06-20,IT Equipment,166,488.99,81172.34,East,IT
PO00022,V022,2025-11-18,Consulting,127,171.17,21738.59,South,IT
PO00023,V022,2025-11-04,Consulting,239,195.18,46648.02,South,R&D
PO00024,V003,2025-01-10,Raw Materials,239,340.05,81271.95,South,HR
PO00025,V004,2025-03-17,Consulting,280,146.25,40950.0,West,Operations
PO00026,V005,2025-12-24,MRO Parts,456,77.68,35422.08,North,IT
PO00027,V012,2025-10-19,MRO Parts,85,253.14,21516.9,North,HR
PO00028,V023,2025-11-06,Logistics,318,512.33,162920.94,West,R&D
PO00029,V021,2026-06-26,IT Equipment,9,362.24,3260.16,West,HR
PO00030,V010,2025-04-17,MRO Parts,485,462.11,224123.35,East,Operations
PO00031,V004,2025-04-20,Consulting,385,307.78,118495.3,West,Operations
PO00032,V010,2025-08-04,MRO Parts,372,207.87,77327.64,East,Facilities
PO00033,V021,2025-09-28,IT Equipment,263,277.05,72864.15,West,R&D
PO00034,V002,2025-04-05,Consulting,329,246.2,80999.8,North,Operations
PO00035,V002,2025-01-04,Consulting,175,411.28,71974.0,North,Facilities
PO00036,V009,2025-06-15,Packaging,384,254.87,97870.08,North,Facilities
PO00037,V014,2026-07-29,Consulting,9,98.14,883.26,North,Facilities
PO00038,V005,2026-07-13,MRO Parts,23,441.43,10152.89,North,HR
PO00039,V018,2025-06-01,Packaging,225,105.54,23746.5,East,Operations
PO00040,V012,2025-02-10,MRO Parts,465,214.96,99956.4,North,Facilities
PO00041,V008,2025-04-16,Packaging,186,415.56,77294.16,East,R&D
PO00042,V014,2025-06-08,Consulting,478,486.69,232637.82,North,R&D
PO00043,V006,2025-07-01,Office Supplies,456,240.84,109823.04,East,IT
PO00044,V024,2025-12-07,Packaging,405,487.14,197291.7,North,R&D
PO00045,V022,2025-09-12,Consulting,141,120.62,17007.42,South,Facilities
PO00046,V004,2026-01-27,Consulting,451,63.39,28588.89,West,Finance
PO00047,V008,2025-07-24,Packaging,423,481.26,203572.98,East,Operations
PO00048,V010,2025-08-22,MRO Parts,119,56.24,6692.56,East,IT
PO00049,V013,2025-12-03,IT Equipment,147,455.57,66968.79,East,R&D
PO00050,V009,2025-12-26,Packaging,333,286.97,95561.01,North,Facilities
PO00051,V018,2025-12-06,Packaging,485,58.11,28183.35,East,Operations
PO00052,V006,2025-09-29,Office Supplies,24,96.49,2315.76,East,Finance
PO00053,V012,2025-11-18,MRO Parts,228,332.95,75912.6,North,HR
PO00054,V004,2026-01-30,Consulting,465,318.88,148279.2,West,Operations
PO00055,V002,2026-03-23,Consulting,5,291.96,1459.8,North,R&D
PO00056,V018,2025-07-21,Packaging,191,249.87,47725.17,East,Facilities
PO00057,V011,2025-11-18,Raw Materials,344,447.81,154046.64,South,Facilities
PO00058,V010,2026-06-04,MRO Parts,163,361.77,58968.51,East,Operations
PO00059,V013,2025-10-30,IT Equipment,288,105.46,30372.48,East,Finance
PO00060,V022,2026-01-24,Consulting,351,400.36,140526.36,South,IT
PO00061,V020,2025-11-05,Consulting,212,305.27,64717.24,West,Manufacturing
PO00062,V010,2025-10-21,MRO Parts,112,249.2,27910.4,East,HR
PO00063,V020,2025-11-26,Consulting,243,254.85,61928.55,West,Facilities
PO00064,V007,2026-06-08,Raw Materials,247,422.02,104238.94,North,R&D
PO00065,V024,2025-06-23,Packaging,342,85.28,29165.76,North,HR
PO00066,V022,2025-12-10,Consulting,52,433.75,22555.0,South,R&D
PO00067,V008,2025-11-14,Packaging,120,428.12,51374.4,East,IT
PO00068,V001,2025-02-17,Raw Materials,130,512.37,66608.1,East,HR
PO00069,V025,2025-03-16,MRO Parts,238,241.86,57562.68,East,Facilities
PO00070,V019,2025-07-19,IT Equipment,372,375.77,139786.44,East,Finance
PO00071,V013,2025-09-07,IT Equipment,80,356.63,28530.4,East,Manufacturing
PO00072,V025,2025-04-20,MRO Parts,403,246.94,99516.82,East,IT
PO00073,V023,2026-06-15,Logistics,242,68.85,16661.7,West,IT
PO00074,V004,2026-04-13,Consulting,73,425.67,31073.91,West,Facilities
PO00075,V017,2026-07-27,MRO Parts,309,195.72,60477.48,East,R&D
PO00076,V015,2026-06-01,IT Equipment,223,439.52,98012.96,West,HR
PO00077,V015,2025-06-12,IT Equipment,385,454.21,174870.85,West,Finance
PO00078,V009,2025-09-11,Packaging,435,347.89,151332.15,North,R&D
PO00079,V025,2026-06-18,MRO Parts,253,342.71,86705.63,East,Operations
PO00080,V015,2025-03-21,IT Equipment,370,180.72,66866.4,West,Operations
PO00081,V011,2025-11-24,Raw Materials,462,301.57,139325.34,South,IT
PO00082,V005,2025-08-25,MRO Parts,201,374.63,75300.63,North,Facilities
PO00083,V007,2025-03-07,Raw Materials,217,238.61,51778.37,North,HR
PO00084,V015,2026-03-02,IT Equipment,36,143.25,5157.0,West,Finance
PO00085,V013,2025-01-21,IT Equipment,443,463.31,205246.33,East,HR
PO00086,V013,2026-05-04,IT Equipment,8,492.8,3942.4,East,Operations
PO00087,V025,2026-02-04,MRO Parts,441,468.53,206621.73,East,R&D
PO00088,V014,2026-07-06,Consulting,387,393.95,152458.65,North,R&D
PO00089,V020,2025-08-14,Consulting,254,149.23,37904.42,West,Finance
PO00090,V016,2025-01-30,Consulting,204,204.66,41750.64,East,Facilities
PO00091,V013,2025-06-19,IT Equipment,435,267.01,116149.35,East,IT
PO00092,V020,2026-07-01,Consulting,18,475.79,8564.22,West,HR
PO00093,V019,2025-01-28,IT Equipment,47,350.31,16464.57,East,IT
PO00094,V015,2025-07-06,IT Equipment,30,168.57,5057.1,West,Operations
PO00095,V007,2026-04-11,Raw Materials,172,205.31,35313.32,North,Finance
PO00096,V009,2026-03-08,Packaging,134,441.58,59171.72,North,Finance
PO00097,V001,2026-07-07,Raw Materials,31,519.96,16118.76,East,Operations
PO00098,V008,2025-03-12,Packaging,404,499.71,201882.84,East,Manufacturing
PO00099,V025,2025-02-01,MRO Parts,491,162.46,79767.86,East,R&D
PO00100,V001,2025-06-06,Raw Materials,127,104.95,13328.65,East,Facilities
PO00101,V004,2025-08-12,Consulting,243,377.25,91671.75,West,R&D
PO00102,V012,2025-06-21,MRO Parts,315,333.44,105033.6,North,Facilities
PO00103,V023,2025-04-28,Logistics,403,434.17,174970.51,West,Operations
PO00104,V004,2025-01-27,Consulting,480,193.18,92726.4,West,Facilities
PO00105,V013,2026-02-11,IT Equipment,487,384.63,187314.81,East,Manufacturing
PO00106,V019,2025-09-06,IT Equipment,57,376.17,21441.69,East,Operations
PO00107,V022,2025-05-04,Consulting,412,512.33,211079.96,South,R&D
PO00108,V002,2025-12-22,Consulting,277,248.48,68828.96,North,Operations
PO00109,V003,2026-06-03,Raw Materials,336,207.08,69578.88,South,R&D
PO00110,V014,2026-05-17,Consulting,59,250.92,14804.28,North,Operations
PO00111,V021,2026-04-16,IT Equipment,367,117.67,43184.89,West,IT
PO00112,V024,2026-06-19,Packaging,499,353.97,176631.03,North,HR
PO00113,V018,2026-05-11,Packaging,243,251.9,61211.7,East,Facilities
PO00114,V019,2025-10-02,IT Equipment,170,449.56,76425.2,East,R&D
PO00115,V003,2025-10-13,Raw Materials,456,259.13,118163.28,South,R&D
PO00116,V015,2026-01-24,IT Equipment,177,58.63,10377.51,West,R&D
PO00117,V011,2025-07-06,Raw Materials,254,145.76,37023.04,South,R&D
PO00118,V009,2025-12-15,Packaging,148,463.15,68546.2,North,Facilities
PO00119,V009,2026-07-24,Packaging,10,290.4,2904.0,North,IT
PO00120,V003,2025-09-05,Raw Materials,373,238.05,88792.65,South,HR
PO00121,V025,2025-09-04,MRO Parts,358,271.14,97068.12,East,Facilities
PO00122,V016,2026-04-04,Consulting,410,53.19,21807.9,East,Operations
PO00123,V008,2026-02-19,Packaging,359,160.57,57644.63,East,Facilities
PO00124,V019,2026-01-13,IT Equipment,247,307.9,76051.3,East,Operations
PO00125,V014,2026-07-18,Consulting,174,212.11,36907.14,North,Finance
PO00126,V009,2025-11-10,Packaging,133,154.51,20549.83,North,Facilities
PO00127,V007,2025-11-20,Raw Materials,66,397.87,26259.42,North,R&D
PO00128,V023,2025-07-09,Logistics,103,147.78,15221.34,West,Finance
PO00129,V009,2026-06-22,Packaging,310,179.42,55620.2,North,Manufacturing
PO00130,V007,2025-10-31,Raw Materials,121,216.42,26186.82,North,Operations
PO00131,V001,2026-07-01,Raw Materials,69,175.3,12095.7,East,Manufacturing
PO00132,V018,2025-10-27,Packaging,362,493.44,178625.28,East,Facilities
PO00133,V025,2026-05-18,MRO Parts,57,459.54,26193.78,East,HR
PO00134,V010,2026-04-26,MRO Parts,250,254.22,63555.0,East,IT
PO00135,V002,2025-09-16,Consulting,486,454.32,220799.52,North,Manufacturing
PO00136,V003,2026-02-15,Raw Materials,256,80.19,20528.64,South,Facilities
PO00137,V022,2025-02-24,Consulting,82,115.87,9501.34,South,HR
PO00138,V010,2025-03-29,MRO Parts,132,101.26,13366.32,East,R&D
PO00139,V014,2025-08-20,Consulting,402,293.22,117874.44,North,Finance
PO00140,V015,2025-11-01,IT Equipment,445,324.55,144424.75,West,Finance
PO00141,V010,2025-03-03,MRO Parts,317,501.05,158832.85,East,Manufacturing
PO00142,V025,2025-08-01,MRO Parts,325,145.24,47203.0,East,Facilities
PO00143,V003,2025-06-10,Raw Materials,127,127.56,16200.12,South,Manufacturing
PO00144,V006,2025-01-03,Office Supplies,214,258.99,55423.86,East,HR
PO00145,V016,2025-10-26,Consulting,21,154.95,3253.95,East,Facilities
PO00146,V010,2026-04-10,MRO Parts,41,371.51,15231.91,East,Operations
PO00147,V021,2025-07-22,IT Equipment,222,99.52,22093.44,West,IT
PO00148,V021,2025-06-02,IT Equipment,470,171.18,80454.6,West,IT
PO00149,V003,2025-03-03,Raw Materials,89,421.5,37513.5,South,HR
PO00150,V024,2025-10-23,Packaging,229,104.07,23832.03,North,Facilities
PO00151,V010,2026-02-17,MRO Parts,487,174.32,84893.84,East,HR
PO00152,V016,2026-03-25,Consulting,46,329.07,15137.22,East,Finance
PO00153,V024,2025-11-27,Packaging,314,163.92,51470.88,North,Manufacturing
PO00154,V008,2025-01-22,Packaging,396,364.33,144274.68,East,Operations
PO00155,V019,2025-02-11,IT Equipment,395,404.23,159670.85,East,Finance
PO00156,V017,2026-03-29,MRO Parts,474,177.12,83954.88,East,HR
PO00157,V014,2026-05-19,Consulting,51,268.25,13680.75,North,Finance
PO00158,V011,2025-11-25,Raw Materials,348,94.68,32948.64,South,IT
PO00159,V011,2026-02-26,Raw Materials,360,280.35,100926.0,South,Facilities
PO00160,V013,2026-07-18,IT Equipment,23,261.04,6003.92,East,Operations
PO00161,V009,2025-11-28,Packaging,64,505.84,32373.76,North,Finance
PO00162,V017,2025-01-02,MRO Parts,341,457.95,156160.95,East,Finance
PO00163,V014,2025-02-25,Consulting,101,291.26,29417.26,North,HR
PO00164,V025,2026-05-26,MRO Parts,325,254.97,82865.25,East,Manufacturing
PO00165,V007,2025-10-01,Raw Materials,286,107.23,30667.78,North,Operations
PO00166,V015,2026-05-12,IT Equipment,67,58.71,3933.57,West,Facilities
PO00167,V020,2025-09-03,Consulting,368,120.23,44244.64,West,HR
PO00168,V001,2026-07-20,Raw Materials,213,89.27,19014.51,East,R&D
PO00169,V004,2026-04-18,Consulting,489,100.8,49291.2,West,R&D
PO00170,V005,2026-05-26,MRO Parts,482,385.39,185757.98,North,HR
PO00171,V023,2025-10-07,Logistics,217,441.49,95803.33,West,Finance
PO00172,V008,2026-04-13,Packaging,287,113.7,32631.9,East,IT
PO00173,V020,2026-06-05,Consulting,387,462.68,179057.16,West,R&D
PO00174,V003,2025-10-10,Raw Materials,400,420.25,168100.0,South,Finance
PO00175,V011,2026-06-04,Raw Materials,141,434.76,61301.16,South,Operations
PO00176,V024,2025-11-02,Packaging,433,323.8,140205.4,North,Facilities
PO00177,V016,2025-06-02,Consulting,233,300.83,70093.39,East,Operations
PO00178,V011,2026-07-20,Raw Materials,395,303.13,119736.35,South,Finance
PO00179,V011,2025-07-13,Raw Materials,362,158.43,57351.66,South,Finance
PO00180,V008,2026-02-25,Packaging,27,196.13,5295.51,East,Finance
PO00181,V023,2026-01-26,Logistics,202,514.5,103929.0,West,R&D
PO00182,V021,2025-06-05,IT Equipment,258,503.29,129848.82,West,IT
PO00183,V017,2025-12-06,MRO Parts,450,92.67,41701.5,East,R&D
PO00184,V015,2025-04-13,IT Equipment,274,477.46,130824.04,West,Manufacturing
PO00185,V024,2025-05-28,Packaging,214,458.69,98159.66,North,IT
PO00186,V003,2026-04-26,Raw Materials,405,505.37,204674.85,South,Operations
PO00187,V020,2026-02-12,Consulting,337,83.15,28021.55,West,Operations
PO00188,V022,2026-07-01,Consulting,199,498.22,99145.78,South,Facilities
PO00189,V023,2026-05-15,Logistics,451,301.98,136192.98,West,HR
PO00190,V003,2025-08-29,Raw Materials,328,370.09,121389.52,South,Operations
