contract_id,vendor_id,item_category,unit_price,contract_start,contract_end,payment_terms,snapshot_date
C001,V001,Raw Materials,245.64,2025-01-01,2026-12-31,Net 30,2026-01-01
C002,V002,Consulting,254.18,2025-01-01,2026-12-31,Net 60,2026-01-01
C003,V003,Raw Materials,577.13,2026-01-01,2026-12-31,Net 15,2026-01-01
C004,V004,Consulting,444.13,2025-01-01,2026-12-31,Net 60,2026-01-01
C005,V005,MRO Parts,214.02,2026-01-01,2026-12-31,Net 30,2026-01-01
C006,V006,Office Supplies,313.14,2025-01-01,2026-12-31,Net 30,2026-01-01
C007,V007,Raw Materials,130.39,2025-01-01,2026-12-31,Net 15,2026-01-01
C008,V008,Packaging,460.68,2025-01-01,2026-12-31,Net 15,2026-01-01
C009,V009,Packaging,441.73,2025-01-01,2026-12-31,Net 15,2026-01-01
C010,V010,MRO Parts,184.3,2025-01-01,2026-06-30,Net 30,2026-01-01
C011,V011,Raw Materials,337.53,2025-01-01,2026-12-31,Net 45,2026-01-01
C012,V012,MRO Parts,324.04,2025-01-01,2026-12-31,Net 45,2026-01-01
C013,V013,IT Equipment,118.78,2025-01-01,2026-06-30,Net 30,2026-01-01
C014,V014,Consulting,393.13,2025-01-01,2026-12-31,Net 30,2026-01-01
C015,V015,IT Equipment,292.72,2025-01-01,2026-12-31,Net 45,2026-01-01
C016,V016,Consulting,459.89,2026-01-01,2026-12-31,Net 15,2026-01-01
C017,V017,MRO Parts,288.66,2025-01-01,2026-12-31,Net 45,2026-01-01
C018,V018,Packaging,61.07,2026-01-01,2026-12-31,Net 60,2026-01-01
C019,V019,IT Equipment,214.47,2025-01-01,2026-12-31,Net 30,2026-01-01
C020,V020,Consulting,58.76,2025-01-01,2026-12-31,Net 60,2026-01-01
C021,V021,IT Equipment,468.09,2025-01-01,2026-12-31,Net 15,2026-01-01
C022,V022,Consulting,497.81,2025-01-01,2026-12-31,Net 60,2026-01-01
C023,V023,Logistics,555.78,2026-01-01,2026-06-30,Net 60,2026-01-01
C024,V024,Packaging,206.47,2025-01-01,2026-12-31,Net 15,2026-01-01
C025,V025,MRO Parts,80.24,2026-01-01,2026-12-31,Net 45,2026-01-01
